The following GPUs could not be reset:
  GPU 00000000:18:00.0: Not Supported
  GPU 00000000:29:00.0: Not Supported
  GPU 00000000:3A:00.0: Not Supported
  GPU 00000000:4B:00.0: Not Supported
  GPU 00000000:9A:00.0: Not Supported
  GPU 00000000:AA:00.0: Not Supported
  GPU 00000000:BA:00.0: Not Supported
  GPU 00000000:CA:00.0: Not Supported
{'loss': 0.3696, 'grad_norm': 0.453610897064209, 'learning_rate': 9.741174489470973e-06, 'epoch': 0.74}
{'loss': 0.3684, 'grad_norm': 0.4596025049686432, 'learning_rate': 9.732695895466736e-06, 'epoch': 0.75}
{'loss': 0.372, 'grad_norm': 0.4631127119064331, 'learning_rate': 9.724084470921276e-06, 'epoch': 0.76}
{'loss': 0.3643, 'grad_norm': 0.4074558615684509, 'learning_rate': 9.715340457527746e-06, 'epoch': 0.77}
{'loss': 0.3371, 'grad_norm': 0.3899804651737213, 'learning_rate': 9.70646410070061e-06, 'epoch': 0.78}
{'loss': 0.3734, 'grad_norm': 0.4051896929740906, 'learning_rate': 9.697455649568761e-06, 'epoch': 0.78}
{'loss': 0.3863, 'grad_norm': 0.37771207094192505, 'learning_rate': 9.688315356968521e-06, 'epoch': 0.79}
{'loss': 0.373, 'grad_norm': 0.3695662021636963, 'learning_rate': 9.679043479436558e-06, 'epoch': 0.8}
{'loss': 0.3642, 'grad_norm': 0.41283994913101196, 'learning_rate': 9.669640277202668e-06, 'epoch': 0.81}
{'loss': 0.3635, 'grad_norm': 0.3918053209781647, 'learning_rate': 9.660106014182488e-06, 'epoch': 0.82}
{'loss': 0.3519, 'grad_norm': 0.3192005455493927, 'learning_rate': 9.650440957970082e-06, 'epoch': 0.82}
{'loss': 0.3722, 'grad_norm': 0.32021328806877136, 'learning_rate': 9.640645379830424e-06, 'epoch': 0.83}
{'loss': 0.3686, 'grad_norm': 0.37918752431869507, 'learning_rate': 9.630719554691797e-06, 'epoch': 0.84}
{'loss': 0.3857, 'grad_norm': 0.372178316116333, 'learning_rate': 9.620663761138067e-06, 'epoch': 0.85}
{'loss': 0.3479, 'grad_norm': 0.3639991283416748, 'learning_rate': 9.61047828140087e-06, 'epoch': 0.86}
{'loss': 0.3508, 'grad_norm': 0.5606054663658142, 'learning_rate': 9.600163401351687e-06, 'epoch': 0.86}
{'loss': 0.3364, 'grad_norm': 0.34770655632019043, 'learning_rate': 9.589719410493822e-06, 'epoch': 0.87}
{'loss': 0.3579, 'grad_norm': 0.4823685884475708, 'learning_rate': 9.579146601954276e-06, 'epoch': 0.88}
{'loss': 0.3643, 'grad_norm': 0.5058241486549377, 'learning_rate': 9.568445272475523e-06, 'epoch': 0.89}
{'loss': 0.374, 'grad_norm': 0.4999159276485443, 'learning_rate': 9.557615722407178e-06, 'epoch': 0.9}
{'loss': 0.3426, 'grad_norm': 0.48655980825424194, 'learning_rate': 9.546658255697564e-06, 'epoch': 0.9}
{'loss': 0.3725, 'grad_norm': 0.5153008103370667, 'learning_rate': 9.535573179885192e-06, 'epoch': 0.91}
{'loss': 0.342, 'grad_norm': 0.5208083987236023, 'learning_rate': 9.524360806090116e-06, 'epoch': 0.92}
{'loss': 0.3721, 'grad_norm': 0.6265438795089722, 'learning_rate': 9.513021449005214e-06, 'epoch': 0.93}
{'loss': 0.3719, 'grad_norm': 0.384213387966156, 'learning_rate': 9.501555426887347e-06, 'epoch': 0.94}
{'loss': 0.3688, 'grad_norm': 0.680866539478302, 'learning_rate': 9.489963061548429e-06, 'epoch': 0.94}
{'loss': 0.3594, 'grad_norm': 0.5175575613975525, 'learning_rate': 9.47824467834639e-06, 'epoch': 0.95}
{'loss': 0.3824, 'grad_norm': 0.3865381181240082, 'learning_rate': 9.466400606176062e-06, 'epoch': 0.96}
{'loss': 0.3564, 'grad_norm': 0.3578973412513733, 'learning_rate': 9.454431177459921e-06, 'epoch': 0.97}
{'loss': 0.3447, 'grad_norm': 0.4751473367214203, 'learning_rate': 9.44233672813878e-06, 'epoch': 0.98}
{'loss': 0.3824, 'grad_norm': 0.37306901812553406, 'learning_rate': 9.430117597662347e-06, 'epoch': 0.98}
{'loss': 0.3814, 'grad_norm': 0.4801708161830902, 'learning_rate': 9.417774128979706e-06, 'epoch': 0.99}
{'loss': 0.3444, 'grad_norm': 0.3987254798412323, 'learning_rate': 9.405306668529686e-06, 'epoch': 1.0}
{'loss': 0.3304, 'grad_norm': 0.35114219784736633, 'learning_rate': 9.392715566231139e-06, 'epoch': 1.01}
{'loss': 0.2797, 'grad_norm': 0.5141996741294861, 'learning_rate': 9.380001175473122e-06, 'epoch': 1.02}
{'loss': 0.3163, 'grad_norm': 0.32580694556236267, 'learning_rate': 9.367163853104975e-06, 'epoch': 1.02}
{'loss': 0.3048, 'grad_norm': 0.4248753786087036, 'learning_rate': 9.354203959426304e-06, 'epoch': 1.03}
{'loss': 0.3538, 'grad_norm': 0.4412629306316376, 'learning_rate': 9.341121858176877e-06, 'epoch': 1.04}
{'loss': 0.3112, 'grad_norm': 0.3878016769886017, 'learning_rate': 9.327917916526404e-06, 'epoch': 1.05}
{'loss': 0.2841, 'grad_norm': 0.37693366408348083, 'learning_rate': 9.314592505064239e-06, 'epoch': 1.06}
{'loss': 0.2828, 'grad_norm': 0.34571775794029236, 'learning_rate': 9.301145997788979e-06, 'epoch': 1.06}
{'loss': 0.3032, 'grad_norm': 0.3431716859340668, 'learning_rate': 9.28757877209796e-06, 'epoch': 1.07}
{'loss': 0.2801, 'grad_norm': 0.47770392894744873, 'learning_rate': 9.273891208776677e-06, 'epoch': 1.08}
{'loss': 0.3076, 'grad_norm': 0.3206421136856079, 'learning_rate': 9.260083691988084e-06, 'epoch': 1.09}
{'loss': 0.3478, 'grad_norm': 0.582280695438385, 'learning_rate': 9.24615660926182e-06, 'epoch': 1.1}
{'loss': 0.3039, 'grad_norm': 0.37021803855895996, 'learning_rate': 9.232110351483328e-06, 'epoch': 1.1}
{'loss': 0.3089, 'grad_norm': 0.4030510187149048, 'learning_rate': 9.217945312882888e-06, 'epoch': 1.11}
{'loss': 0.2626, 'grad_norm': 0.3734448552131653, 'learning_rate': 9.203661891024547e-06, 'epoch': 1.12}
{'loss': 0.3025, 'grad_norm': 0.4030483067035675, 'learning_rate': 9.189260486794969e-06, 'epoch': 1.13}
{'loss': 0.2897, 'grad_norm': 0.4158714711666107, 'learning_rate': 9.174741504392173e-06, 'epoch': 1.14}
{'loss': 0.3004, 'grad_norm': 0.40983355045318604, 'learning_rate': 9.160105351314199e-06, 'epoch': 1.14}
{'loss': 0.3246, 'grad_norm': 0.3514043390750885, 'learning_rate': 9.145352438347662e-06, 'epoch': 1.15}
{'loss': 0.3047, 'grad_norm': 0.3897992670536041, 'learning_rate': 9.13048317955623e-06, 'epoch': 1.16}
{'loss': 0.2847, 'grad_norm': 0.4003831148147583, 'learning_rate': 9.115497992268995e-06, 'epoch': 1.17}
